Orthogroup	Orthogroup	Amaranthus_Cruentus	Amaranthus_hypochondriacus	Atriplex_hortensis_longest	Beta_patula.longest	Beta_vulgaris_longest	Cquinoa_QQ74_v2.A	Cquinoa_QQ74_v2.B	Haloxylon_ammodendron	Salicornia_bigelovii.pro.B	Salicornia_bigelovii.pro.D	Salicornia_europaea_France.pro.A	Salicornia_europaea_France.pro.C	Spinacia_oleracea	Spinacia_tetrandra	Spinacia_turkestanica	Suaeda_glauca.A	Suaeda_glauca.B	at	kau3287.l	kau3288.l	kin3565.l	kin4237.l	
OG0007516	OG0007516	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	2	0	1	1	1	1	
OG0007517	OG0007517	0	4	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007518	OG0007518	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	
OG0007519	OG0007519	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	
OG0007520	OG0007520	0	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	
OG0007521	OG0007521	0	1	3	1	1	2	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007522	OG0007522	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	
OG0007523	OG0007523	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	
OG0007524	OG0007524	0	1	0	3	1	0	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	
OG0007525	OG0007525	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007526	OG0007526	0	1	3	1	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007527	OG0007527	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	
OG0007528	OG0007528	0	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	
OG0007529	OG0007529	0	1	1	2	2	1	1	1	1	0	1	1	1	1	1	2	2	1	1	1	1	1	
OG0007530	OG0007530	0	0	1	1	2	2	1	3	0	1	0	0	0	0	0	3	3	2	1	2	1	1	
OG0007531	OG0007531	0	0	1	1	1	0	1	1	0	0	0	0	3	2	4	5	5	0	0	0	0	0	
OG0007532	OG0007532	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	
OG0007533	OG0007533	0	0	3	2	1	2	2	6	0	0	0	0	1	1	1	2	3	0	0	0	0	0	
OG0007534	OG0007534	0	0	4	0	0	4	1	0	2	1	1	0	0	3	3	1	1	0	0	0	1	2	
OG0007535	OG0007535	0	0	1	1	1	1	1	2	2	2	1	1	0	1	1	2	2	1	1	1	1	1	
OG0007536	OG0007536	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	10	10	0	0	0	0	0	
OG0007537	OG0007537	0	0	0	3	3	0	0	4	0	1	1	1	0	1	1	4	1	0	1	1	1	1	
OG0007538	OG0007538	0	0	0	3	4	0	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	
OG0007539	OG0007539	0	0	0	0	0	1	1	4	0	0	0	0	1	3	14	0	0	0	0	0	0	0	
OG0007540	OG0007540	0	0	0	0	0	0	1	0	5	4	4	2	0	0	0	0	0	0	1	0	4	3	
OG0007541	OG0007541	0	0	0	0	0	0	1	8	1	0	1	2	0	0	1	0	0	0	3	2	2	3	
OG0007542	OG0007542	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG0007543	OG0007543	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG0007544	OG0007544	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG0007545	OG0007545	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG0007546	OG0007546	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG0007547	OG0007547	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG0007548	OG0007548	0	0	0	0	0	0	0	2	0	0	0	0	3	17	2	0	0	0	0	0	0	0	
OG0007549	OG0007549	0	0	0	0	0	0	0	1	0	3	6	2	0	0	0	0	0	0	1	4	3	4	
OG0007550	OG0007550	0	0	0	0	0	0	0	2	4	2	2	2	0	0	0	3	2	0	1	2	2	2	
OG0007551	OG0007551	0	0	0	0	0	0	0	0	8	14	0	0	1	0	0	0	0	0	0	0	0	1	
OG0007552	OG0007552	0	0	0	0	0	0	0	0	2	0	9	7	0	0	0	0	0	0	1	0	4	1	
OG0007553	OG0007553	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	3	5	7	
OG0007554	OG0007554	0	0	0	0	0	0	0	0	3	2	2	1	0	0	0	1	2	0	2	2	3	6	
OG0007555	OG0007555	0	0	0	0	0	0	0	0	1	1	18	1	0	0	0	0	0	0	0	2	1	0	
OG0007556	OG0007556	0	0	0	0	0	0	0	0	2	3	3	2	0	0	0	0	0	0	3	4	3	4	
OG0007557	OG0007557	0	0	0	0	0	0	0	0	2	2	3	4	0	0	0	1	3	0	2	2	3	2	
OG0007558	OG0007558	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	
OG0007559	OG0007559	0	0	0	0	0	0	0	0	0	0	0	0	5	11	8	0	0	0	0	0	0	0	
OG0007560	OG0007560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	0	0	0	0	0	
OG0007561	OG0007561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	
OG0007562	OG0007562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	
OG0007563	OG0007563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	
OG0007564	OG0007564	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007565	OG0007565	1	1	1	2	1	2	1	0	1	2	0	0	1	1	1	1	1	2	1	1	1	1	
OG0007566	OG0007566	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007567	OG0007567	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007568	OG0007568	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007569	OG0007569	2	2	1	1	1	1	0	1	1	1	1	2	1	2	1	0	0	1	1	1	1	1	
OG0007570	OG0007570	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	
OG0007571	OG0007571	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	
OG0007572	OG0007572	1	2	1	1	1	1	1	2	0	1	2	1	1	1	1	1	0	1	1	1	1	1	
OG0007573	OG0007573	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007574	OG0007574	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007575	OG0007575	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007576	OG0007576	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007577	OG0007577	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007578	OG0007578	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007579	OG0007579	1	1	0	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007580	OG0007580	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	
OG0007581	OG0007581	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007582	OG0007582	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	2	1	
OG0007583	OG0007583	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007584	OG0007584	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007585	OG0007585	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	3	1	1	1	1	
OG0007586	OG0007586	2	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
OG0007587	OG0007587	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
OG0007588	OG0007588	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007589	OG0007589	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	
OG0007590	OG0007590	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007591	OG0007591	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007592	OG0007592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	
OG0007593	OG0007593	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	
OG0007594	OG0007594	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
OG0007595	OG0007595	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
OG0007596	OG0007596	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007597	OG0007597	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	2	1	1	1	1	
OG0007598	OG0007598	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007599	OG0007599	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
OG0007600	OG0007600	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	2	1	1	1	1	
OG0007601	OG0007601	3	0	1	7	0	1	0	0	0	2	0	0	0	0	4	1	1	0	0	1	2	0	
OG0007602	OG0007602	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	
OG0007603	OG0007603	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007604	OG0007604	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007605	OG0007605	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007606	OG0007606	1	1	0	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	
OG0007607	OG0007607	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	2	1	1	1	1	
OG0007608	OG0007608	2	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	
OG0007609	OG0007609	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007610	OG0007610	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	2	1	1	1	
OG0007611	OG0007611	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007612	OG0007612	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007613	OG0007613	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007614	OG0007614	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	
OG0007615	OG0007615	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007616	OG0007616	2	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
OG0007617	OG0007617	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	0	0	1	1	1	1	1	
OG0007618	OG0007618	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007619	OG0007619	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007620	OG0007620	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007621	OG0007621	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
OG0007622	OG0007622	2	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
OG0007623	OG0007623	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
OG0007624	OG0007624	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
OG0007625	OG0007625	1	2	1	1	1	0	1	2	1	1	1	1	1	2	1	1	0	1	1	1	1	1	
OG0007626	OG0007626	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	
OG0007627	OG0007627	2	0	1	1	1	0	1	2	1	1	1	2	1	1	1	1	2	0	1	1	1	1	
OG0007628	OG0007628	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
OG0007629	OG0007629	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007630	OG0007630	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007631	OG0007631	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007632	OG0007632	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007633	OG0007633	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	2	1	1	1	1	1	
OG0007634	OG0007634	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007635	OG0007635	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007636	OG0007636	1	0	1	1	1	0	3	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007637	OG0007637	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	2	1	1	1	1	
OG0007638	OG0007638	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	
OG0007639	OG0007639	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007640	OG0007640	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2	1	1	1	1	
OG0007641	OG0007641	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	0	0	2	0	1	1	1	
OG0007642	OG0007642	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
OG0007643	OG0007643	2	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007644	OG0007644	1	1	1	1	1	0	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007645	OG0007645	1	1	1	1	1	2	1	1	0	1	0	1	1	2	2	1	1	1	1	1	1	1	
OG0007646	OG0007646	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007647	OG0007647	2	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007648	OG0007648	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	
OG0007649	OG0007649	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
OG0007650	OG0007650	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	
OG0007651	OG0007651	1	0	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	
OG0007652	OG0007652	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007653	OG0007653	2	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007654	OG0007654	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007655	OG0007655	2	3	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	
OG0007656	OG0007656	1	1	2	1	1	2	1	1	1	1	1	1	0	1	1	0	1	2	1	1	1	1	
OG0007657	OG0007657	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	0	1	0	1	1	1	1	
OG0007658	OG0007658	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	1	1	1	1	
OG0007659	OG0007659	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
OG0007660	OG0007660	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG0007661	OG0007661	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007662	OG0007662	1	2	1	1	1	0	0	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	
OG0007663	OG0007663	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007664	OG0007664	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007665	OG0007665	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007666	OG0007666	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007667	OG0007667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007668	OG0007668	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	
OG0007669	OG0007669	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007670	OG0007670	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007671	OG0007671	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	0	0	2	1	1	1	1	
OG0007672	OG0007672	1	1	1	1	1	2	2	1	1	1	1	1	1	1	0	2	0	1	1	1	1	1	
OG0007673	OG0007673	2	1	1	1	1	1	0	2	1	0	1	1	1	1	1	2	1	1	1	1	1	1	
OG0007674	OG0007674	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007675	OG0007675	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	
OG0007676	OG0007676	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007677	OG0007677	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
OG0007678	OG0007678	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007679	OG0007679	1	1	1	1	1	1	1	3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007680	OG0007680	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007681	OG0007681	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007682	OG0007682	1	1	1	2	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007683	OG0007683	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007684	OG0007684	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007685	OG0007685	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007686	OG0007686	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007687	OG0007687	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	0	1	1	1	1	1	1	
OG0007688	OG0007688	1	3	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	2	1	1	
OG0007689	OG0007689	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007690	OG0007690	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	
OG0007691	OG0007691	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007692	OG0007692	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
OG0007693	OG0007693	1	1	1	2	1	3	1	1	0	1	1	1	0	1	1	0	1	2	1	1	1	1	
OG0007694	OG0007694	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007695	OG0007695	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007696	OG0007696	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007697	OG0007697	1	1	1	1	1	1	0	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	
OG0007698	OG0007698	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007699	OG0007699	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2	2	2	1	1	1	1	
OG0007700	OG0007700	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	
OG0007701	OG0007701	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
OG0007702	OG0007702	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007703	OG0007703	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007704	OG0007704	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
OG0007705	OG0007705	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007706	OG0007706	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007707	OG0007707	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	
OG0007708	OG0007708	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007709	OG0007709	1	1	1	1	1	0	1	1	1	1	1	2	0	1	1	1	1	3	1	1	1	1	
OG0007710	OG0007710	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007711	OG0007711	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007712	OG0007712	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007713	OG0007713	1	1	0	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	
OG0007714	OG0007714	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007715	OG0007715	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007716	OG0007716	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007717	OG0007717	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007718	OG0007718	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007719	OG0007719	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
OG0007720	OG0007720	3	1	0	1	1	3	1	0	1	1	1	1	0	1	1	0	2	1	1	1	1	1	
OG0007721	OG0007721	4	0	0	1	1	1	3	0	1	1	1	1	0	1	1	1	2	0	1	1	1	1	
OG0007722	OG0007722	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007723	OG0007723	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007724	OG0007724	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007725	OG0007725	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007726	OG0007726	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	
OG0007727	OG0007727	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	2	1	1	1	1	
OG0007728	OG0007728	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007729	OG0007729	1	2	1	1	2	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007730	OG0007730	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007731	OG0007731	1	1	1	0	0	1	1	3	0	1	1	1	0	0	0	4	4	0	1	1	1	1	
OG0007732	OG0007732	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	0	1	1	1	1	
OG0007733	OG0007733	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
OG0007734	OG0007734	1	0	0	3	1	1	3	2	1	0	1	1	0	1	1	1	1	1	1	1	1	1	
OG0007735	OG0007735	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007736	OG0007736	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
OG0007737	OG0007737	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007738	OG0007738	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007739	OG0007739	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007740	OG0007740	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007741	OG0007741	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
OG0007742	OG0007742	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	
OG0007743	OG0007743	1	0	1	1	1	1	1	2	1	2	2	1	1	0	1	1	1	2	1	1	1	0	
OG0007744	OG0007744	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
OG0007745	OG0007745	1	2	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
OG0007746	OG0007746	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
OG0007747	OG0007747	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007748	OG0007748	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007749	OG0007749	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007750	OG0007750	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG0007751	OG0007751	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007752	OG0007752	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	
OG0007753	OG0007753	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
OG0007754	OG0007754	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG0007755	OG0007755	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
