Orthogroup	Orthogroup	Amaranthus_Cruentus	Amaranthus_hypochondriacus	Atriplex_hortensis_longest	Beta_patula.longest	Beta_vulgaris_longest	Cquinoa_QQ74_v2.A	Cquinoa_QQ74_v2.B	Haloxylon_ammodendron	Salicornia_bigelovii.pro.B	Salicornia_bigelovii.pro.D	Salicornia_europaea_France.pro.A	Salicornia_europaea_France.pro.C	Spinacia_oleracea	Spinacia_tetrandra	Spinacia_turkestanica	Suaeda_glauca.A	Suaeda_glauca.B	at	kau3287.l	kau3288.l	kin3565.l	kin4237.l	
OG0000051	OG0000051	11	16	17	19	18	20	19	20	13	14	14	13	13	13	13	15	18	17	13	13	13	13	
OG0000052	OG0000052	0	0	33	1	3	9	40	17	3	7	22	15	30	6	41	21	20	0	14	24	12	17	
OG0000053	OG0000053	3	0	0	2	5	1	0	4	14	5	48	7	38	0	0	81	77	0	8	6	26	2	
OG0000054	OG0000054	16	16	24	17	13	15	14	12	13	6	13	9	11	21	13	14	23	8	17	16	16	16	
OG0000055	OG0000055	1	2	16	0	0	0	39	5	10	19	19	25	15	1	6	23	13	0	38	23	21	47	
OG0000056	OG0000056	2	0	6	0	2	3	6	2	20	15	40	12	1	8	0	49	47	0	7	29	42	27	
OG0000057	OG0000057	1	37	51	3	6	65	33	9	12	11	0	0	7	5	5	21	18	0	14	16	2	1	
OG0000058	OG0000058	14	1	55	0	1	0	5	53	9	18	3	3	24	27	23	16	16	0	9	15	12	12	
OG0000059	OG0000059	0	0	81	0	0	1	1	6	4	2	9	5	43	10	9	63	62	0	2	4	6	4	
OG0000060	OG0000060	4	4	12	6	7	7	8	20	10	15	23	25	6	6	5	24	24	9	22	25	21	22	
OG0000061	OG0000061	1	1	14	19	19	18	16	16	7	12	8	6	14	20	7	35	35	16	11	10	11	9	
OG0000062	OG0000062	0	0	4	0	0	2	2	106	21	15	9	10	2	2	1	33	37	0	18	10	18	15	
OG0000063	OG0000063	10	0	60	0	5	28	17	0	10	15	12	7	49	2	3	23	24	1	5	11	14	6	
OG0000064	OG0000064	13	13	16	11	13	7	11	4	8	17	14	19	6	15	11	18	28	16	15	15	14	15	
OG0000065	OG0000065	0	1	87	0	0	7	5	10	7	16	6	1	30	5	3	35	48	0	8	7	7	11	
OG0000066	OG0000066	1	1	51	5	5	42	73	2	1	0	0	0	37	54	20	0	0	0	0	0	0	0	
OG0000067	OG0000067	0	0	7	0	0	1	1	5	27	29	47	29	4	1	2	4	6	0	20	31	40	38	
OG0000068	OG0000068	0	0	46	0	3	7	27	7	6	4	8	8	21	49	25	16	17	3	5	17	16	3	
OG0000069	OG0000069	13	0	0	0	1	0	0	1	12	30	34	36	25	37	20	4	3	1	4	26	20	18	
OG0000070	OG0000070	2	0	10	4	9	24	21	5	19	20	6	4	34	7	33	27	22	0	3	7	26	2	
OG0000071	OG0000071	8	6	12	12	14	13	17	21	5	8	7	10	25	18	19	15	17	16	9	10	10	10	
OG0000072	OG0000072	0	0	14	0	1	1	3	2	25	30	20	20	21	6	0	30	25	0	7	22	26	28	
OG0000073	OG0000073	0	0	41	5	7	6	15	27	0	2	0	1	83	30	60	1	1	0	0	0	0	1	
OG0000074	OG0000074	1	0	6	5	13	11	43	34	10	4	7	4	45	37	6	18	24	0	4	1	3	3	
OG0000075	OG0000075	1	0	1	0	0	0	0	18	4	9	4	3	18	0	2	88	90	0	5	17	8	9	
OG0000076	OG0000076	14	13	18	11	16	13	10	21	8	8	11	12	10	19	13	13	15	9	11	11	9	12	
OG0000077	OG0000077	8	2	29	2	13	21	26	6	21	25	11	14	6	2	2	18	20	0	19	11	11	7	
OG0000078	OG0000078	4	2	9	2	2	3	4	21	4	3	7	5	38	46	24	25	27	5	12	15	12	4	
OG0000079	OG0000079	8	0	0	0	0	1	1	10	33	36	5	5	77	0	0	15	15	2	17	24	9	14	
OG0000080	OG0000080	0	0	2	2	4	1	0	0	23	20	25	17	18	20	25	14	12	0	12	29	16	32	
OG0000081	OG0000081	2	3	13	1	4	4	1	14	6	7	14	17	21	13	4	40	38	0	8	25	10	24	
OG0000082	OG0000082	2	0	47	0	0	0	0	29	7	17	17	6	19	3	0	27	27	0	15	10	38	4	
OG0000083	OG0000083	0	2	60	4	3	1	0	43	3	7	6	6	18	17	17	39	31	0	3	1	2	5	
OG0000084	OG0000084	20	0	11	1	2	1	1	8	23	14	18	16	15	5	2	23	20	0	28	13	27	19	
OG0000085	OG0000085	0	0	34	2	10	4	11	1	23	13	28	3	21	7	56	14	15	0	3	13	2	7	
OG0000086	OG0000086	0	0	28	2	7	0	11	37	28	30	6	1	26	24	16	5	7	0	4	19	3	13	
OG0000087	OG0000087	2	0	2	1	2	0	7	5	21	15	12	2	29	23	0	29	25	0	15	49	17	7	
OG0000088	OG0000088	2	1	5	1	1	3	10	16	20	16	8	17	21	1	0	43	33	1	5	14	20	22	
OG0000089	OG0000089	1	0	7	1	3	0	0	0	28	24	9	15	5	10	1	55	51	0	4	24	10	9	
OG0000090	OG0000090	0	0	23	1	3	26	26	5	8	9	6	0	31	39	19	11	14	1	3	11	14	7	
OG0000091	OG0000091	0	12	5	7	8	23	33	4	4	13	0	30	12	17	10	36	34	0	0	1	2	4	
OG0000092	OG0000092	0	0	4	1	0	0	0	5	16	18	15	16	66	30	0	16	14	0	14	11	20	8	
OG0000093	OG0000093	15	15	7	16	15	2	7	22	9	17	7	4	8	6	8	22	25	13	8	9	9	9	
OG0000094	OG0000094	1	6	25	19	16	19	25	23	2	3	6	3	16	16	16	14	13	6	5	7	4	7	
OG0000095	OG0000095	0	0	0	0	1	0	0	1	8	7	1	1	107	1	0	40	45	0	5	9	16	10	
OG0000096	OG0000096	9	9	12	11	11	13	12	19	12	8	11	13	11	14	8	10	12	0	13	13	14	14	
OG0000097	OG0000097	0	0	6	0	1	2	3	7	18	11	32	22	29	0	1	33	32	0	7	7	26	11	
OG0000098	OG0000098	0	0	15	0	0	5	10	12	0	0	9	44	63	32	3	4	2	0	25	4	18	0	
OG0000099	OG0000099	2	0	65	6	17	23	14	0	17	10	8	1	20	2	0	16	15	0	6	10	7	6	
OG0000100	OG0000100	0	7	48	0	1	1	3	1	26	17	8	1	17	3	4	26	25	0	4	14	23	13	
OG0000101	OG0000101	1	1	8	0	0	0	2	5	9	3	10	10	29	1	1	48	42	0	14	22	22	13	
OG0000102	OG0000102	0	0	13	1	3	12	43	1	18	19	5	17	0	0	0	49	41	0	8	5	3	3	
OG0000103	OG0000103	0	0	39	11	5	16	15	50	0	4	2	7	2	0	0	31	42	0	1	7	3	5	
OG0000104	OG0000104	0	0	6	0	1	0	0	18	8	9	5	4	18	5	1	66	66	0	2	16	10	5	
OG0000105	OG0000105	1	0	1	0	1	0	0	13	5	21	31	24	6	1	0	37	32	0	9	9	45	3	
OG0000106	OG0000106	1	7	7	31	11	26	17	24	16	7	0	0	13	27	9	12	9	3	3	5	6	5	
OG0000107	OG0000107	38	0	20	0	1	4	4	49	13	14	14	18	16	1	0	7	6	0	6	8	9	9	
OG0000108	OG0000108	0	0	19	2	2	27	12	49	18	19	0	1	22	4	15	17	16	0	2	7	3	2	
OG0000109	OG0000109	33	0	1	1	2	0	2	3	17	17	9	8	9	3	2	42	33	0	15	14	15	10	
OG0000110	OG0000110	3	12	26	13	19	8	15	13	6	3	7	4	24	42	2	6	5	0	8	8	5	7	
OG0000111	OG0000111	0	0	31	6	7	11	31	13	0	0	0	0	26	62	8	22	18	0	0	0	0	0	
OG0000112	OG0000112	0	0	0	2	6	28	18	69	11	5	6	0	0	0	0	0	0	1	20	15	19	35	
OG0000113	OG0000113	1	0	72	0	0	0	0	26	1	1	3	0	16	0	11	40	49	0	3	9	0	1	
OG0000114	OG0000114	0	0	78	0	2	5	6	16	6	6	8	2	10	8	25	15	14	0	4	11	9	8	
OG0000115	OG0000115	0	0	3	0	0	1	5	0	8	8	9	11	135	0	0	8	7	0	11	10	11	6	
OG0000116	OG0000116	8	9	21	4	5	31	7	7	9	4	9	3	9	20	14	17	16	0	10	12	7	8	
OG0000117	OG0000117	7	14	9	10	11	10	11	10	9	10	9	9	10	10	11	9	12	17	10	10	10	10	
OG0000118	OG0000118	7	1	3	0	0	0	0	1	3	2	3	7	121	1	1	3	3	0	25	23	17	7	
OG0000119	OG0000119	12	28	24	4	5	5	18	13	5	6	9	4	10	0	8	20	20	0	11	11	5	9	
OG0000120	OG0000120	9	8	11	8	8	12	9	11	9	7	11	11	8	12	8	14	14	12	11	11	11	11	
OG0000121	OG0000121	5	0	28	2	5	27	13	1	12	9	3	0	13	25	7	29	29	0	6	6	4	2	
OG0000122	OG0000122	2	18	12	12	11	11	11	13	8	8	9	9	7	10	9	12	10	17	9	9	9	9	
OG0000123	OG0000123	0	0	0	0	0	0	0	3	3	3	2	0	149	4	0	27	26	0	2	4	1	1	
OG0000124	OG0000124	0	0	3	0	2	2	0	2	21	23	20	24	74	10	3	2	1	1	8	11	8	9	
OG0000125	OG0000125	12	13	13	5	5	7	8	12	9	3	11	7	11	16	14	12	15	0	10	10	14	12	
OG0000126	OG0000126	11	0	10	5	9	11	11	7	10	11	11	7	7	14	9	11	24	5	11	11	10	11	
OG0000127	OG0000127	1	0	0	2	0	0	0	11	8	3	25	20	9	1	0	62	61	0	0	1	8	2	
OG0000128	OG0000128	4	5	9	16	31	13	18	4	3	6	6	7	7	18	34	5	4	0	6	6	6	6	
OG0000129	OG0000129	0	0	2	0	0	0	0	0	1	1	3	4	105	5	0	30	33	0	3	1	16	9	
OG0000130	OG0000130	0	0	46	4	7	4	18	5	4	1	5	5	20	36	25	7	9	0	5	4	2	5	
OG0000131	OG0000131	12	19	9	9	10	16	16	11	7	8	7	7	8	8	10	5	6	10	8	7	8	10	
OG0000132	OG0000132	1	0	30	1	5	0	0	0	7	24	14	7	16	0	4	28	29	0	8	20	12	5	
OG0000133	OG0000133	0	0	28	5	7	4	14	24	2	0	3	3	26	39	22	5	4	0	9	6	6	4	
OG0000134	OG0000134	0	0	29	7	7	3	12	13	10	6	23	14	5	20	6	1	1	0	19	16	10	9	
OG0000135	OG0000135	2	0	1	0	0	1	0	89	7	3	5	3	6	0	27	20	17	0	9	6	5	9	
OG0000136	OG0000136	0	0	23	0	0	2	4	13	8	10	0	3	40	3	11	42	39	1	7	2	2	0	
OG0000137	OG0000137	13	12	8	9	9	11	8	10	8	8	8	8	9	10	10	12	10	14	8	8	8	8	
OG0000138	OG0000138	6	6	7	2	1	11	7	13	13	4	23	14	10	12	6	2	2	0	20	19	8	23	
OG0000139	OG0000139	14	1	28	3	4	36	17	0	11	0	3	2	18	12	20	7	9	0	0	6	6	10	
OG0000140	OG0000140	0	0	5	0	1	3	1	25	17	15	16	5	29	2	8	11	10	0	11	9	20	18	
OG0000141	OG0000141	0	0	3	0	0	0	0	15	10	6	11	3	34	1	0	39	36	0	8	16	13	10	
OG0000142	OG0000142	9	10	7	10	11	4	12	7	8	9	11	12	0	8	6	11	14	8	12	13	9	13	
